id,n_shapes,n_dimensions,noise,image,label,split
0004,6,19,slight,output_v5\images\drawing_0004.png,output_v5\labels\drawing_0004.json,train
0020,4,10,clean,output_v5\images\drawing_0020.png,output_v5\labels\drawing_0020.json,train
0045,5,12,noisy,output_v5\images\drawing_0045.png,output_v5\labels\drawing_0045.json,train
0036,4,11,noisy,output_v5\images\drawing_0036.png,output_v5\labels\drawing_0036.json,train
0058,4,12,slight,output_v5\images\drawing_0058.png,output_v5\labels\drawing_0058.json,train
0056,5,18,noisy,output_v5\images\drawing_0056.png,output_v5\labels\drawing_0056.json,train
0035,6,18,noisy,output_v5\images\drawing_0035.png,output_v5\labels\drawing_0035.json,train
0052,4,12,slight,output_v5\images\drawing_0052.png,output_v5\labels\drawing_0052.json,train
0040,6,18,noisy,output_v5\images\drawing_0040.png,output_v5\labels\drawing_0040.json,train
0068,5,15,heavy,output_v5\images\drawing_0068.png,output_v5\labels\drawing_0068.json,train
0061,5,13,slight,output_v5\images\drawing_0061.png,output_v5\labels\drawing_0061.json,train
0007,5,15,clean,output_v5\images\drawing_0007.png,output_v5\labels\drawing_0007.json,train
0057,4,13,noisy,output_v5\images\drawing_0057.png,output_v5\labels\drawing_0057.json,train
0055,4,12,noisy,output_v5\images\drawing_0055.png,output_v5\labels\drawing_0055.json,train
0049,6,19,slight,output_v5\images\drawing_0049.png,output_v5\labels\drawing_0049.json,train
0002,5,14,noisy,output_v5\images\drawing_0002.png,output_v5\labels\drawing_0002.json,train
0096,5,15,noisy,output_v5\images\drawing_0096.png,output_v5\labels\drawing_0096.json,train
0088,4,10,clean,output_v5\images\drawing_0088.png,output_v5\labels\drawing_0088.json,train
0025,6,16,heavy,output_v5\images\drawing_0025.png,output_v5\labels\drawing_0025.json,train
0015,4,11,noisy,output_v5\images\drawing_0015.png,output_v5\labels\drawing_0015.json,train
0093,4,11,slight,output_v5\images\drawing_0093.png,output_v5\labels\drawing_0093.json,train
0065,4,12,noisy,output_v5\images\drawing_0065.png,output_v5\labels\drawing_0065.json,train
0082,5,15,heavy,output_v5\images\drawing_0082.png,output_v5\labels\drawing_0082.json,train
0066,4,13,clean,output_v5\images\drawing_0066.png,output_v5\labels\drawing_0066.json,train
0032,5,10,clean,output_v5\images\drawing_0032.png,output_v5\labels\drawing_0032.json,train
0012,5,13,slight,output_v5\images\drawing_0012.png,output_v5\labels\drawing_0012.json,train
0047,6,18,slight,output_v5\images\drawing_0047.png,output_v5\labels\drawing_0047.json,train
0013,4,13,heavy,output_v5\images\drawing_0013.png,output_v5\labels\drawing_0013.json,val
0005,6,17,clean,output_v5\images\drawing_0005.png,output_v5\labels\drawing_0005.json,val
0019,5,14,slight,output_v5\images\drawing_0019.png,output_v5\labels\drawing_0019.json,val
0094,6,15,heavy,output_v5\images\drawing_0094.png,output_v5\labels\drawing_0094.json,val
0076,4,11,heavy,output_v5\images\drawing_0076.png,output_v5\labels\drawing_0076.json,val
0022,6,17,slight,output_v5\images\drawing_0022.png,output_v5\labels\drawing_0022.json,val
0018,5,14,heavy,output_v5\images\drawing_0018.png,output_v5\labels\drawing_0018.json,val
0014,4,11,heavy,output_v5\images\drawing_0014.png,output_v5\labels\drawing_0014.json,val
0085,6,16,clean,output_v5\images\drawing_0085.png,output_v5\labels\drawing_0085.json,val
0034,5,16,heavy,output_v5\images\drawing_0034.png,output_v5\labels\drawing_0034.json,val
0029,5,13,noisy,output_v5\images\drawing_0029.png,output_v5\labels\drawing_0029.json,val
0087,4,11,clean,output_v5\images\drawing_0087.png,output_v5\labels\drawing_0087.json,val
0079,5,13,noisy,output_v5\images\drawing_0079.png,output_v5\labels\drawing_0079.json,val
0048,4,13,slight,output_v5\images\drawing_0048.png,output_v5\labels\drawing_0048.json,val
0090,6,17,heavy,output_v5\images\drawing_0090.png,output_v5\labels\drawing_0090.json,val
0098,4,11,clean,output_v5\images\drawing_0098.png,output_v5\labels\drawing_0098.json,val
0078,6,18,noisy,output_v5\images\drawing_0078.png,output_v5\labels\drawing_0078.json,val
0033,6,17,slight,output_v5\images\drawing_0033.png,output_v5\labels\drawing_0033.json,val
0084,4,13,heavy,output_v5\images\drawing_0084.png,output_v5\labels\drawing_0084.json,val
0070,5,15,slight,output_v5\images\drawing_0070.png,output_v5\labels\drawing_0070.json,test
0064,6,18,noisy,output_v5\images\drawing_0064.png,output_v5\labels\drawing_0064.json,test
0051,5,15,slight,output_v5\images\drawing_0051.png,output_v5\labels\drawing_0051.json,test
0039,4,14,slight,output_v5\images\drawing_0039.png,output_v5\labels\drawing_0039.json,test
0042,6,19,slight,output_v5\images\drawing_0042.png,output_v5\labels\drawing_0042.json,test
0054,6,16,slight,output_v5\images\drawing_0054.png,output_v5\labels\drawing_0054.json,test
0080,6,17,heavy,output_v5\images\drawing_0080.png,output_v5\labels\drawing_0080.json,test
0008,4,14,slight,output_v5\images\drawing_0008.png,output_v5\labels\drawing_0008.json,test
0053,5,16,noisy,output_v5\images\drawing_0053.png,output_v5\labels\drawing_0053.json,test
0030,5,14,noisy,output_v5\images\drawing_0030.png,output_v5\labels\drawing_0030.json,test
0038,5,13,slight,output_v5\images\drawing_0038.png,output_v5\labels\drawing_0038.json,test
